global_index,Fluor_690-_total_raw,Fluor_690-_background,Fluor_627-673_total_raw,Fluor_627-673_background,Fluor_585-625_total_raw,Fluor_585-625_background,Fluor_550-570_total_raw,Fluor_550-570_background,Fluor_500-550_total_raw,Fluor_500-550_background,Fluor_426-446_total_raw,Fluor_426-446_background,Fluor_426-446_background_lowess,Fluor_500-550_background_lowess,Fluor_550-570_background_lowess,Fluor_585-625_background_lowess,Fluor_627-673_background_lowess,Fluor_690-_background_lowess,Fluor_426_shading,Fluor_426-446_shading,Fluor_426-446_shading_corrected,Fluor_500-550_shading,Fluor_500-550_shading_corrected,Fluor_550-570_shading,Fluor_550-570_shading_corrected,Fluor_585-625_shading,Fluor_585-625_shading_corrected,Fluor_627-673_shading,Fluor_627-673_shading_corrected,Fluor_690-_shading,Fluor_690-_shading_corrected,selection_example_CD3_positive_cells_batch_0,selection_example_HLA-DR_positive_cells_batch_0,selection_example_CD16_positive_cells_batch_0,selection_example_CD14_positive_cells_batch_0,selection_example_CD56_positive_cells_batch_0,selection_example_CD19_positive_cells_batch_0,selection_example_autofluor_positive_cells_batch_0,selection_example_CD123_positive_cells_batch_0,selection_example_CD45_positive_cells_batch_0,selection_example_CD3_positive_cells_batch_1,selection_example_HLA-DR_positive_cells_batch_1,selection_example_CD16_positive_cells_batch_1,selection_example_CD14_positive_cells_batch_1,selection_example_CD56_positive_cells_batch_1,selection_example_CD19_positive_cells_batch_1,selection_example_CD123_positive_cells_batch_1,selection_example_CD45_positive_cells_batch_1,selection_example_autofluor_positive_cells_batch_1,CD45_single_antibody_model_unmixed,autofluor_single_antibody_model_unmixed,CD123_single_antibody_model_unmixed,CD19_single_antibody_model_unmixed,CD56_single_antibody_model_unmixed,CD14_single_antibody_model_unmixed,CD16_single_antibody_model_unmixed,HLA-DR_single_antibody_model_unmixed,CD3_single_antibody_model_unmixed,CD123/HLA-DR/CD14_full_model_unmixed,CD3/CD19/CD56_full_model_unmixed,CD45_full_model_unmixed,CD16_full_model_unmixed,selection_lymphocytes,selection_gated_CD3_hi_CD_16_lo,selection_gated_CD16_hi_CD45_mid,selection_gated_CD16_hi_CD45_lomid,selection_gated_CD16_hi_CD45_lo,selection_gated_CD16_lo_CD45_lo,selection_gated_CD16_none_CD45_mid_and_hi,selection_gated_CD45_mid_CD_16_mid,selection_gated_CD45_hi_CD_16_lo,selection_gated_CD45_hi_CD_16_mid,selection_gated_CD45_hi_CD_16_hi
30,80.2801742553711,74.017822265625,92.82574462890624,82.03620910644531,78.2917709350586,68.50806427001953,53.84053421020508,51.59434127807617,122.13440704345705,105.21980285644533,56.37512588500977,43.36152648925781,47.49067797777749,135.1959298060549,54.15765980615494,80.28258345171045,86.94540096824399,71.63935945948933,121.11493688967656,128.80116285417094,8.703535353275797,99.69404018434952,-13.060227367053274,12.52808587326816,-0.3128120585143275,44.19724099221301,-2.0077400259526788,40.43865961661466,5.9085991362647245,22.55243247525455,8.542052117983044,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,42.96823501586914,52.16994857788086,,,,,,,,4.357627868652344,54.79387283325195,42.29350662231445,9.352340698242188,False,False,False,False,False,False,False,False,False,False,False
281,84.43902587890625,73.76689910888672,96.7099380493164,82.20113372802734,83.12149047851562,72.18840026855469,55.6680679321289,53.73408889770508,122.85267639160156,107.51258850097656,66.05292510986328,43.23281478881836,48.12856986822475,140.2203714873011,56.56451989488711,82.06286451303474,89.10099430936687,72.76704820356105,111.95789920703292,118.2002972774708,19.134186831070505,98.18699300560414,-17.632518525555863,12.413670991375744,-0.8924085100591722,44.550681775971725,1.0591572937847589,40.37354950565351,7.657835110858736,20.95741229610789,12.41674328369692,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,54.90220642089844,49.4747085571289,,,,,,,,10.016878128051758,52.96234893798828,57.11802673339844,2.0437644124031067,False,False,False,False,False,False,False,False,False,False,False
307,83.52471160888672,79.5445556640625,104.87407684326172,97.36322784423828,94.5698471069336,86.72758483886719,60.3790168762207,58.56039428710938,145.88092041015625,132.35162353515622,56.09619522094727,47.37255859375,49.74073796224582,152.1264661348205,61.09361161698836,88.89452175511202,95.94138858274368,76.22551000198987,113.89328142721035,119.41024720025786,6.715683826301477,96.69279038532116,-6.438762728558892,12.28686051178067,-0.7187134943210151,43.56708974813589,5.806367061185697,39.086685003347895,9.286069071973124,21.3087297098878,7.636928241746081,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,38.86113739013672,62.60769653320313,,,,,,,,12.419936180114744,64.54900360107422,40.61515808105469,2.0437644124031067,False,False,False,False,False,False,False,False,False,False,False
584,76.9987564086914,73.87581634521484,100.921630859375,93.9734115600586,85.80130767822266,79.38642120361328,62.13938903808594,60.73748397827149,134.31924438476562,123.2033920288086,52.617713928222656,46.15756607055664,49.61343397594629,154.00736265927085,62.80860536647243,90.75311189933134,97.64178991106743,77.0725310543049,116.56315735906657,128.46663155500318,2.9507682324779005,102.15020263895912,-19.212819371344708,12.64357120415342,-0.6540842348580519,45.22369957477135,-4.880559955181544,40.98886062042996,3.2513633656684098,22.445796984133725,-0.073277899655501,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,36.154109954833984,44.93536758422852,,,,,,,,22.121841430664062,42.28677749633789,24.14044570922852,4.165292263031007,False,False,False,False,False,False,False,False,False,False,False
1451,77.84193420410156,75.45996856689453,106.31800079345705,100.23677825927734,95.18865203857422,88.82036590576172,58.62759780883789,56.94455337524414,145.7529754638672,135.34002685546878,48.03229904174805,43.395755767822266,49.35746735998919,152.6616603623555,60.40210096627644,90.44153928364364,97.6145963916806,77.20429511289925,114.98753280895345,125.44670327787723,-1.332897729528338,99.8521839049321,-6.897058979651767,12.365742739641805,-1.773346004619344,45.66388140431738,4.6337115759370455,43.45849297770767,8.137538793528789,22.89135350286565,0.6210182647324773,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29.16077423095703,61.62165069580078,,,,,,,,21.75266456604004,60.05353927612305,23.668312072753903,2.0437644124031067,False,False,False,False,False,False,False,False,False,False,False
1646,96.40251922607422,73.094482421875,118.08638763427734,94.6082000732422,100.37255859375,83.30155944824219,52.67460632324219,49.75671768188477,151.38282775878906,125.11768341064452,95.5904769897461,45.17510604858398,47.36383820919976,134.7895225866119,52.534027146374605,82.8802971729357,89.57084945330612,73.66515671921479,130.03354769336977,140.2479403157473,43.38859016877189,104.39354068206026,15.844750152218554,12.523311853720504,0.1387198824269464,46.87765827247832,16.63230055572266,42.22349121579879,27.441383515733826,22.87768710164229,22.157914455346745,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,74.13225555419922,90.06659698486328,,,,,,,,11.22805118560791,91.9180145263672,81.73825073242188,2.0437644124031067,False,False,False,False,False,False,False,False,False,False,False
1762,78.9157943725586,73.71173858642578,94.19332122802734,85.66704559326172,86.8243408203125,79.09307098388672,52.9890251159668,51.20565795898438,130.09564208984378,117.34992980957033,54.81228256225586,44.22036743164063,46.71535631303004,130.0049571032128,51.44708693905798,79.88285935642342,86.39746602189682,71.36927299211631,140.94491268172018,144.7032863156391,7.060359671295607,105.72024381823849,0.0855073327964536,12.918347962737723,1.475016553996501,47.03287920108071,6.578439372462431,42.94310225161519,7.376475764403334,23.96366424213015,7.020927559834827,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,37.202735900878906,68.10390472412111,,,,,,,,9.0062255859375,66.91740417480469,31.1988468170166,14.079545021057127,False,False,False,False,False,False,False,False,False,False,False
2809,107.41497039794922,70.44752502441406,128.43559265136722,86.59774017333984,106.16912078857422,75.13211059570312,56.18375015258789,51.09985733032226,160.75523376464844,114.8554458618164,128.85890197753906,43.70919418334961,48.095616078858434,138.42033431227858,55.62329261510593,80.99897112268881,87.84886261057663,72.12930249043322,112.95120304521176,120.70746397422032,84.42379896250705,98.701153931891,22.55734044574865,12.350128812615967,0.5608001722781871,44.015162820271904,25.48917383285037,40.9916271584656,40.23161582984538,20.99435036294316,37.47113198483849,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,116.75603485107422,101.23906707763672,,,,,,,,7.8444318771362305,104.20801544189452,128.98640441894528,2.0437644124031067,False,False,False,False,False,False,False,False,False,False,False
2944,82.18476104736328,76.94908142089844,99.43154907226562,91.54427337646484,85.73593139648438,79.29109191894531,60.68122100830078,59.26506423950195,140.83111572265625,131.97991943359378,55.29286193847656,46.30070877075195,48.183935181774274,143.30411198092747,58.892814681418855,83.46061147799134,90.5938984207135,73.8321360566954,103.12687085261253,111.68217218161092,8.031658307365896,95.45462145666644,-2.582573094166856,12.188143573873436,1.8132828230329927,42.84196768669405,2.3672565851710394,38.02891753957154,9.442814038026444,21.73609276857805,8.567269241866725,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,39.90766906738281,64.59187316894531,,,,,,,,3.9159131050109854,66.21085357666016,39.40937423706055,11.886918067932127,False,False,False,False,False,False,False,False,False,False,False
3101,72.89617919921875,69.78104400634766,90.04498291015625,82.04073333740234,78.93595123291016,70.96407318115234,57.42812728881836,55.39886856079102,129.20716857910156,115.97171020507812,48.27371597290039,42.8243293762207,47.295521451742346,138.73347329948982,57.43714149404149,80.2486236550943,87.04676325816166,72.19791374155584,100.52938818593228,108.60744253199891,1.1364508958618411,94.25976949923852,-10.074516638427594,12.054910007350458,-0.0092406044435555,43.30807509408267,-1.351013703228544,38.064453327290174,3.200533815814936,19.89534719624984,0.7824740570252089,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,32.304859161376946,54.55050277709961,,,,,,,,15.145262718200684,51.16907501220703,18.89669609069824,14.31596565246582,False,False,False,False,False,False,False,False,False,False,False
